Title,Link
Mitel.6869i.Firmware.Upgrade.Command.Injection,https://www.fortiguard.com/encyclopedia/ips/56045
Obfuscated.PDF.Access,https://www.fortiguard.com/encyclopedia/ips/38397
DNS.Unexpected.Qclass,https://www.fortiguard.com/encyclopedia/ips/12428
IMAP.Invalid.State,https://www.fortiguard.com/encyclopedia/ips/12672
POP3.Invalid.Message.Number,https://www.fortiguard.com/encyclopedia/ips/109248519
SMTP.Unknown.Reply,https://www.fortiguard.com/encyclopedia/ips/12285
TFTP.Request.EXE.File,https://www.fortiguard.com/encyclopedia/ips/13131
